"Location","Capacity","1-Feb-09","2-Feb-09","3-Feb-09","4-Feb-09","5-Feb-09","6-Feb-09","7-Feb-09","8-Feb-09","9-Feb-09"
"Mississippi State Penitentiary","4,627","4,094","4,092","4,100","4,097","4,088","4,084","4,081","4,079","4,073"
"Central Mississippi Correctional Facility","3,665","3,491","3,507","3,524","3,527","3,538","3,565","3,565","3,566","3,592"
"South Mississippi Correctional Institution","3,204","3,127","3,122","3,126","3,134","3,129","3,134","3,133","3,133","3,125"
"County Jails","1,898","1,718","1,727","1,734","1,699","1,705","1,686","1,686","1,686","1,686"
"COMMUNITY WORK CENTERS","1,848","1,727","1,763","1,762","1,750","1,745","1,697","1,692","1,692","1,732"
"Alcorn Satellite Facility","92","83","82","82","81","80","75","75","75","79"
"Bolivar Satellite Facility","102","98","98","98","98","97","95","95","95","96"
"Forrest Satellite Facility","96","93","94","92","91","91","88","87","87","88"
"George Satellite Facility","102","99","101","101","100","99","96","96","96","98"
"Harrison Satellite Facility","102","102","102","102","102","102","100","100","100","101"
"Jackson Satellite Facility","102","100","99","99","98","98","97","97","96","95"
"Jefferson Satellite Facility","102","89","96","94","89","88","87","85","85","87"
"Leflore Satellite Facility","102","96","92","92","90","91","86","86","86","91"
"Madison Satellite Facility","102","100","100","99","98","102","100","100","100","102"
"Noxubee Satellite Facility","92","90","92","91","90","90","84","84","85","89"
"Pike Satellite Facility","93","85","87","87","88","88","87","86","86","87"
"Quitman Satellite Facility","93","83","85","84","83","82","79","78","79","82"
"Rankin Satellite Facility","260","244","251","252","251","248","244","244","244","248"
"Simpson Satellite Facility","102","87","100","101","101","100","97","97","97","100"
"Washington Satellite Facility","102","93","96","96","94","93","89","89","89","94"
"Wilkinson Satellite Facility","102","92","93","93","99","99","96","96","96","99"
"Yazoo Satellite Facility","102","93","95","99","97","97","97","97","96","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,940","2,938","2,940","2,939","2,935","2,935","2,935","2,934","2,927"
"Bolivar County","294","279","280","280","279","279","276","276","276","279"
"Carroll County","280","268","268","268","268","266","266","266","265","264"
"George County","280","266","266","266","266","266","266","266","266","266"
"Holmes County","280","272","272","272","272","270","272","272","272","266"
"Issaquena County","274","259","259","259","259","259","260","260","260","259"
"Jefferson County","280","266","265","265","266","266","266","266","266","264"
"Kemper County","280","266","265","266","265","266","266","266","266","266"
"Leake County","280","266","266","266","266","264","265","265","265","265"
"Marion County","280","267","267","267","267","267","266","266","266","266"
"Stone County","280","264","264","265","265","266","266","266","266","266"
"Winston County","280","267","266","266","266","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,489","5,494","5,498","5,499","5,478","5,452","5,450","5,449","5,469"
"Delta","972","952","956","956","958","957","955","955","954","955"
"East Mississippi","1,500","1,359","1,361","1,361","1,360","1,364","1,363","1,363","1,363","1,362"
"Marshall County","1,000","982","982","981","982","981","983","983","983","983"
"Walnut Grove","1,500","1,221","1,220","1,223","1,222","1,201","1,178","1,177","1,177","1,196"
"Wilkinson County","1,000","975","975","977","977","975","973","972","972","973"
"RESTITUTION CENTERS","16","13","13","13","12","12","11","11","11","12"
"Greenwood","6","4","4","4","3","3","2","2","2","3"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","47","9","7","7","7","59","61","58","12"
"TOTALS","24,324","22,652","22,671","22,710","22,670","22,643","22,629","22,620","22,614","22,634"
