"Location","Capacity","28-Oct-14","29-Oct-14","30-Oct-14","31-Oct-14","Avg Population"
"Mississippi State Penitentiary","4,648","3,205","3,193","3,188","3,163","3,261"
"Central Mississippi Correctional Facility","3,469","2,302","2,295","2,318","2,293","2,341"
"Youthful Offender Unit","58","35","35","34","33","34"
"CMCF TVC","350","92","87","87","89","101"
"South Mississippi Correctional Institution 3,282","","2,853","2,800","2,808","2,798","2,885"
"County Jails","1,973","1,551","1,553","1,528","1,543","1,589"
"COMMUNITY WORK CENTERS","1,848","1,077","1,079","1,082","1,071","1,068"
"Alcorn Satellite Facility","92","92","92","90","88","84"
"Bolivar Satellite Facility","102","50","50","50","50","48"
"Forrest Satellite Facility","96","47","47","47","45","47"
"George Satellite Facility","102","52","52","51","51","52"
"Harrison Satellite Facility","102","42","46","45","47","42"
"Jackson Satellite Facility","102","49","49","49","45","46"
"Jefferson Satellite Facility","102","50","49","49","44","49"
"Leflore Satellite Facility","102","48","53","54","52","48"
"Madison Satellite Facility","102","46","44","48","50","50"
"Noxubee Satellite Facility","92","64","64","64","61","67"
"Pike Satellite Facility","93","78","78","78","78","81"
"Quitman Satellite Facility","93","56","56","56","53","57"
"Rankin Satellite Facility","260","169","168","170","173","169"
"Simpson Satellite Facility","102","95","94","93","98","96"
"Washington Satellite Facility","102","47","47","49","49","45"
"Wilkinson Satellite Facility","102","44","42","42","41","42"
"Yazoo Satellite Facility","102","48","48","47","46","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,283","4,277","4,285","4,282","4,291"
"Alcorn County","300","297","300","300","300","297"
"Bolivar County","369","364","363","362","359","365"
"Carroll County","280","269","271","271","270","275"
"Chickasaw County","300","300","299","298","300","299"
"George County","280","268","268","272","271","274"
"Holmes County","280","267","265","265","266","269"
"Issaquena County","274","274","271","271","260","266"
"Jefferson County","280","270","269","269","269","261"
"Kemper County","355","334","334","340","341","343"
"Leake County","280","257","257","255","256","263"
"Marion County","280","281","280","280","279","279"
"Stone County","280","278","278","279","279","277"
"Washington County","300","267","267","266","279","275"
"Winston County","280","270","269","270","270","264"
"Yazoo County","300","287","286","287","283","283"
"PRIVATE PRISONS","5,972","4,258","4,319","4,326","4,316","4,194"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,186","1,184","1,183","1,188","1,188"
"Marshall County","1,000","999","998","999","999","998"
"Walnut Grove","1,500","1,245","1,307","1,314","1,301","1,190"
"Wilkinson County","1,000","828","830","830","828","818"
"RESTITUTION CENTERS","16","5","5","5","5","5"
"Greenwood","6","3","3","3","3","3"
"Hinds","6","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0"
"TOTALS","25,710","19,661","19,643","19,661","19,593","19,768"
"","","28-Oct-14","29-Oct-14","30-Oct-14","31-Oct-14",""
