"Location","Capacity","18-May-18","19-May-18","20-May-18","21-May-18","22-May-18","23-May-18","24-May-18","25-May-18","26-May-18","27-May-18","28-May-18","29-May-18","30-May-18","31-May-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,381","3,382","3,378","3,390","3,411","3,430","3,426","3,436","3,434","3,433","3,432","3,318","3,440","3,426","3,396"
"Central Mississippi Correctional Facility","3,920","3,795","3,764","3,764","3,761","3,783","3,765","3,777","3,729","3,728","3,726","3,726","3,754","3,732","3,701","3,765"
"Youthful Offender Unit","58","31","31","31","31","31","32","33","34","34","34","34","36","36","37","32"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,056","3,049","3,049","3,050","3,056","3,049","3,051","3,064","3,064","3,062","3,063","3,059","3,051","3,044","3,049"
"County Jails","1,781","1,227","1,227","1,227","1,227","1,226","1,240","1,227","1,248","1,248","1,248","1,248","1,248","1,261","1,319","1217"
"COMMUNITY WORK CENTERS","1,488","962","957","957","976","977","1,003","998","997","997","993","1,001","992","1,005","1,003","941"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","0","76","76","76","79","81","81","81","81","81","81","81","82","81","82","72"
"Delta TVC","300","234","232","232","233","230","249","248","249","249","245","243","245","258","257","204"
"Forrest Satellite Facility","96","55","55","55","60","60","60","59","59","59","59","59","59","59","57","58"
"George Satellite Facility","102","64","64","64","66","66","66","66","66","66","66","66","65","65","67","65"
"Harrison Satellite Facility","102","53","53","53","54","53","53","49","47","47","47","47","46","46","46","53"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","66","66","66","66","67","67","67","67","67","67","67","65","65","64","66"
"Noxubee Satellite Facility","58","44","44","44","46","46","53","53","53","53","53","63","52","54","54","48"
"Pike Satellite Facility","93","74","74","74","74","75","75","75","75","75","75","75","75","74","75","77"
"Quitman Satellite Facility","93","50","47","47","47","47","48","48","48","48","48","48","48","48","47","50"
"Rankin Satellite Facility","178","147","147","147","152","151","152","152","152","152","152","152","150","149","150","149"
"Rankin RID","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","27"
"Flowood TVC","50","21","21","21","21","23","22","22","22","22","22","22","29","29","26","23"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","50","50","50","50","49","50","50","50","50","50","48","49","50","48"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,685","3,685","3,684","3,670","3,660","3,666","3,673","3,704","3,704","3,703","3,691","3,682","3,673","3,698","3,704"
"Alcorn County","300","240","240","240","240","239","239","238","238","238","238","238","238","238","240","241"
"Bolivar County","369","292","292","292","292","294","293","293","293","293","293","292","292","291","293","292"
"Carroll County","280","267","267","267","265","263","261","259","259","259","259","259","259","259","266","263"
"Chickasaw County","310","263","263","263","263","263","263","263","263","263","263","263","261","261","258","265"
"George County","342","211","211","211","209","209","209","209","208","208","208","208","208","207","207","213"
"Holmes County","280","217","217","217","217","217","217","218","217","217","217","217","212","212","212","220"
"Issaquena County","274","269","269","269","268","269","268","267","269","269","269","269","267","264","266","267"
"Jefferson County","280","265","265","265","265","264","263","263","265","265","265","265","265","264","270","266"
"Kemper County","355","246","246","246","245","235","242","240","255","255","255","255","253","257","261","251"
"Leake County","280","263","263","262","260","261","261","261","261","261","260","260","255","256","259","259"
"Marion County","280","263","263","263","263","264","270","270","270","270","270","270","269","267","268","266"
"Stone County","326","219","219","219","218","217","217","217","217","217","217","216","217","216","215","222"
"Washington County","300","184","184","184","183","183","182","182","182","182","182","182","181","180","180","184"
"Winston County","280","256","256","256","255","255","254","266","268","268","268","258","266","264","266","258"
"Yazoo County","300","230","230","230","227","227","227","227","239","239","239","239","239","237","237","237"
"PRIVATE PRISONS","5,972","3,256","3,256","3,256","3,254","3,248","3,248","3,251","3,250","3,249","3,249","3,248","3,242","3,234","3,243","3,233"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,321","1,321","1,321","1,320","1,318","1,318","1,317","1,314","1,314","1,314","1,314","1,311","1,304","1,313","1304"
"Marshall County","1,000","999","999","999","998","997","997","997","1,000","1,000","1,000","999","999","999","1,000","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","936","936","936","936","933","933","937","936","935","935","935","932","931","930","931"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","28","28","28","29","29","29","29","29","29","29","28","28","28","31","28"
"Madison","40","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3"
"Noxubee","34","18","18","18","18","19","19","19","19","19","19","18","18","18","21","17"
"Rankin/Flowood","8","8","8","8","8","7","7","7","7","7","7","7","7","7","7","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,627","19,427","19,385","19,380","19,394","19,427","19,468","19,471","19,497","19,493","19,483","19,477","19,365","19,466","19,508","19,372"
"","","18-May-18","19-May-18","20-May-18","21-May-18","22-May-18","23-May-18","24-May-18","25-May-18","26-May-18","27-May-18","28-May-18","29-May-18","30-May-18","31-May-18","Avg Population"
