"Location","Capacity","1-Aug-02","2-Aug-02","3-Aug-02","4-Aug-02","5-Aug-02","6-Aug-02","7-Aug-02","8-Aug-02","9-Aug-02","10-Aug-02"
"MS STATE PENITENTIARY","5,551","5,300","5,295","5,292","5,290","5,283","5,301","5,283","5,277","5,267","5,263"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,994","3,007","3,009","3,008","2,997","2,985","2,952","2,947","2,910","2,911"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,052","2,051","2,047","2,045","2,019","2,008","2,028","2,041","2,033","2,031"
"COUNTY JAILS      ***","2,113","1,879","1,867","1,867","1,867","1,913","1,904","1,918","1,900","1,886","1,886"
"COMMUNITY WORK CENTERS","1,350","1,314","1,291","1,289","1,290","1,309","1,312","1,317","1,315","1,291","1,291"
"Alcorn Satellite Facility","75","74","72","72","72","74","74","75","75","72","72"
"Bolivar Satellite Facility","75","74","73","73","73","73","73","74","74","72","72"
"Forrest Satellite Facility","75","75","75","75","75","75","75","75","73","69","69"
"George Satellite Facility","75","71","69","69","69","70","72","72","72","71","71"
"Harrison Satellite Facility","75","72","72","72","72","75","75","75","74","72","72"
"Jackson Satellite Facility","75","73","73","73","73","74","75","75","75","73","73"
"Jefferson Satellite Facility","75","74","72","71","72","74","74","74","74","73","73"
"Leflore Satellite Facility","75","72","71","70","70","71","71","74","74","71","71"
"Madison Satellite Facility","75","73","72","72","72","75","75","75","75","74","74"
"Noxubee Satellite Facility","75","72","70","70","70","72","72","70","70","69","69"
"Pike Satellite Facility","75","75","74","74","74","71","71","70","70","74","74"
"Quitman Satellite Facility","75","69","68","68","68","68","68","69","69","69","69"
"Rankin Satellite Facility","150","142","141","141","141","143","143","142","142","141","141"
"Simpson Satellite Facility","75","75","70","70","70","72","72","73","74","72","72"
"Washington Satellite Facility","75","74","71","71","71","73","73","74","74","74","74"
"Wilkinson Satellite Facility","75","75","75","75","75","75","75","75","75","72","72"
"Yazoo Satellite Facility","75","74","73","73","73","74","74","75","75","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,014","2,013","2,012","2,011","2,015","2,017","2,018","2,016","2,022","2,021"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","201","201","201","201","203","203","203","203","203","203"
"George County (opened on May 10th)","250","201","201","201","201","201","202","202","202","202","202"
"Holmes County","250","201","201","201","201","201","201","202","202","204","203"
"Issaquena County","250","202","202","202","202","202","202","202","201","200","200"
"Jefferson County","250","201","201","200","200","200","202","201","201","200","200"
"Kemper County","250","201","200","200","200","202","202","202","202","203","203"
"Leake County","250","202","202","202","201","201","201","201","201","203","203"
"Marion County","250","202","202","202","202","202","202","202","202","202","202"
"Stone County","250","201","201","201","201","201","200","200","200","203","203"
"Winston County","250","202","202","202","202","202","202","203","202","202","202"
"PRIVATE PRISONS","4,750","3,702","3,721","3,720","3,719","3,737","3,756","3,806","3,843","3,882","3,878"
"Delta","1,000","831","828","828","828","828","827","827","827","827","825"
"East MS","1,000","500","500","500","500","500","500","553","553","596","595"
"Marshall County","1,000","932","955","955","954","980","1,001","999","1,000","999","999"
"Walnut Grove","750","541","539","539","539","534","534","533","532","531","531"
"Wilkinson County","1,000","898","899","898","898","895","894","894","931","929","928"
"RESITITUTION CENTERS","24","14","14","14","14","15","15","15","15","14","14"
"Greenwood","6","5","5","5","5","5","5","5","5","4","4"
"Hinds","12","8","7","7","7","8","8","8","8","8","8"
"Pascagoula","6","1","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,857","19,275","19,265","19,256","19,250","19,294","19,304","19,343","19,360","19,311","19,301"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","1-Aug-02","2-Aug-02","3-Aug-02","4-Aug-02","5-Aug-02","6-Aug-02","7-Aug-02","8-Aug-02","9-Aug-02","10-Aug-02"
