"Location","Capacity","10-May-12","11-May-12","12-May-12","13-May-12","14-May-12","15-May-12","16-May-12","17-May-12","18-May-12"
"Mississippi State Penitentiary","4,648","3,303","3,306","3,303","3,303","3,297","3,307","3,307","3,311","3,300"
"Central Mississippi Correctional Facility","3,665","3,112","3,095","3,096","3,095","3,078","3,078","3,063","3,045","3,063"
"South Mississippi Correctional Institution","3,282","3,180","3,172","3,175","3,173","3,175","3,175","3,174","3,177","3,171"
"County Jails","1,753","2,196","2,188","2,190","2,190","2,212","2,199","2,201","2,182","2,156"
"COMMUNITY WORK CENTERS","1,848","1,574","1,577","1,573","1,572","1,588","1,595","1,605","1,617","1,572"
"Alcorn Satellite Facility","92","88","88","88","88","87","87","89","88","88"
"Bolivar Satellite Facility","102","88","88","89","89","89","89","91","91","89"
"Forrest Satellite Facility","96","76","84","82","82","81","79","79","83","76"
"George Satellite Facility","102","87","85","85","85","88","88","87","93","89"
"Harrison Satellite Facility","102","84","84","84","84","91","92","92","92","87"
"Jackson Satellite Facility","102","81","78","77","77","78","86","86","91","85"
"Jefferson Satellite Facility","102","76","73","73","73","77","75","73","74","79"
"Leflore Satellite Facility","102","85","90","90","90","91","91","92","92","88"
"Madison Satellite Facility","102","92","91","91","91","92","92","92","91","90"
"Noxubee Satellite Facility","92","77","75","75","75","79","81","81","81","71"
"Pike Satellite Facility","93","88","88","88","88","91","93","93","93","92"
"Quitman Satellite Facility","93","93","93","92","92","91","92","93","93","92"
"Rankin Satellite Facility","260","207","211","211","211","208","208","208","207","204"
"Simpson Satellite Facility","102","100","100","100","99","97","98","99","99","99"
"Washington Satellite Facility","102","91","91","90","90","89","89","90","90","89"
"Wilkinson Satellite Facility","102","74","73","73","73","73","73","73","72","72"
"Yazoo Satellite Facility","102","87","85","85","85","86","82","87","87","82"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,271","4,275","4,267","4,264","4,263","4,269","4,271","4,278","4,281"
"Alcorn County","300","300","300","300","300","299","299","299","300","300"
"Bolivar County","294","293","293","293","292","293","293","294","294","293"
"Carroll County","280","275","279","279","279","278","277","280","280","279"
"Chickasaw County","300","300","300","299","299","299","299","298","300","300"
"George County","280","280","280","278","278","278","279","280","278","280"
"Holmes County","280","280","280","280","280","280","280","279","278","278"
"Issaquena County","274","273","273","273","273","274","274","274","274","274"
"Jefferson County","280","280","280","280","280","280","280","280","280","280"
"Kemper County","355","340","340","338","338","339","340","340","340","339"
"Leake County","280","280","280","279","279","279","280","280","279","279"
"Marion County","280","281","280","280","280","278","279","278","278","279"
"Stone County","280","279","280","279","279","279","280","280","279","281"
"Washington County","300","231","231","231","230","230","230","230","238","238"
"Winston County","280","279","279","278","277","279","280","279","279","280"
"Yazoo County","300","300","300","300","300","298","299","300","301","301"
"PRIVATE PRISONS","5,972","4,310","4,287","4,284","4,281","4,277","4,274","4,286","4,287","4,291"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,359","1,361","1,359","1,357","1,357","1,355","1,360","1,356","1,362"
"Marshall County","1,000","987","988","988","988","988","987","987","987","987"
"Walnut Grove","1,500","1,064","1,038","1,037","1,037","1,034","1,034","1,034","1,039","1,040"
"Wilkinson County","1,000","900","900","900","899","898","898","905","905","902"
"RESTITUTION CENTERS","16","14","14","14","14","12","12","12","12","11"
"Greenwood","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","5","5","5","5","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","4","24","24","23","5","5","5","6","68"
"TOTALS","25,553","21,964","21,938","21,926","21,915","21,907","21,914","21,924","21,915","21,913"
