"Location","Capacity","22-May-17","23-May-17","24-May-17","25-May-17","26-May-17","27-May-17","28-May-17","29-May-17","30-May-17","31-May-17","Avg Population"
"Mississippi State Penitentiary","3590","3338","3353","3349","3,351","3,331","3,327","3,327","3,328","3,326","3,314","3336"
"Central Mississippi Correctional Facility","3,710","3,287","3,275","3,240","3,291","3,309","3,309","3,309","3,306","3,308","3,341","3327"
"Youthful Offender Unit","58","29","29","30","31","31","31","31","31","31","31","30"
"CMCF TVC","","16","16","16","8","11","11","10","10","9","8","12"
"South Mississippi Correctional Institution","3,082","3,012","3,017","3,021","3,018","3,008","3,002","3,002","3,001","3,003","3,000","3026"
"County Jails","1,781","1,306","1,288","1,299","1,294","1,302","1,302","1,302","1,304","1,316","1,311","1322"
"COMMUNITY WORK CENTERS","1,348","995","988","978","976","977","976","971","968","960","947","973"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","76","75","74","74","74","74","74","74","71","70","79"
"George Satellite Facility","102","100","100","94","93","93","93","93","93","92","90","87"
"Harrison Satellite Facility","102","68","68","72","72","72","72","72","72","71","71","75"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","79","77","76","74","74","74","71","71","71","66","73"
"Leflore TVC Support","20","12","12","12","12","11","11","11","11","11","11","12"
"Madison Satellite Facility","102","60","60","60","60","59","59","59","59","62","61","61"
"Noxubee Satellite Facility","92","54","53","53","53","53","53","53","53","53","53","51"
"Pike Satellite Facility","93","80","81","81","81","81","81","81","81","78","79","83"
"Quitman Satellite Facility","93","70","69","68","68","69","69","69","68","68","66","67"
"Rankin Satellite Facility","182","164","163","163","161","161","160","160","160","157","157","159"
"Rankin RID","28","8","8","8","8","8","8","8","8","8","8","8"
"Flowood TVC","50","20","20","19","28","28","28","27","26","27","27","23"
"Simpson TVC","82","78","76","72","69","69","69","68","67","68","66","71"
"Simpson TVC Support","20","15","15","15","12","14","14","14","14","14","13","15"
"Washington Satellite Facility","102","57","57","57","57","57","57","57","57","56","56","56"
"Wilkinson Satellite Facility","102","54","54","54","54","54","54","54","54","53","53","53"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,789","3,790","3,793","3,784","3,781","3,780","3,780","3,779","3,780","3,770","3796"
"Alcorn County","300","239","238","240","240","240","240","240","240","240","239","240"
"Bolivar County","369","294","292","293","291","294","294","294","294","292","290","293"
"Carroll County","280","264","264","262","261","260","260","260","259","259","258","263"
"Chickasaw County","310","288","288","287","288","288","288","288","288","287","288","287"
"George County","280","220","220","224","224","224","224","224","224","222","221","223"
"Holmes County","280","223","223","225","221","224","224","224","224","220","219","222"
"Issaquena County","274","272","271","272","272","269","269","269","269","269","273","272"
"Jefferson County","280","273","281","281","281","280","280","280","280","279","279","277"
"Kemper County","355","347","346","347","346","347","347","347","347","349","348","348"
"Leake County","280","197","198","194","194","193","192","192","192","198","197","197"
"Marion County","280","224","224","225","225","225","225","225","225","225","223","223"
"Stone County","326","260","260","259","259","261","261","261","261","261","257","261"
"Washington County","300","231","230","227","226","223","223","223","223","222","222","233"
"Winston County","280","219","217","221","220","218","218","218","218","219","219","221"
"Yazoo County","300","238","238","236","236","235","235","235","235","238","237","238"
"PRIVATE PRISONS","5,972","3,056","3,071","3,070","3,066","3,068","3,062","3,061","3,061","3,057","3,058","3063"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,184","1,199","1,197","1,192","1,191","1,191","1,191","1,191","1,189","1,190","1188"
"Marshall County","1,000","999","999","998","997","997","995","995","995","995","995","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","873","873","875","877","880","876","875","875","873","873","877"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","59","59","59","60","60","58","58","58","57","59","65"
"Madison","40","15","16","16","16","16","15","15","15","14","15","16"
"Noxubee","34","27","26","26","26","26","26","26","26","26","26","27"
"Rankin/Flowood","8","3","3","3","3","3","3","3","3","3","4","3"
"Washington","42","12","12","12","13","13","12","12","12","12","12","16"
"Wilkinson","40","2","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,215","18,899","18,898","18,867","18,891","18,890","18,870","18,863","18,858","18,859","18,851","18961"
"","","22-May-17","23-May-17","24-May-17","25-May-17","26-May-17","27-May-17","28-May-17","29-May-17","30-May-17","31-May-17","Avg Population"
