"Location","Capacity","1-Sep-18","2-Sep-18","3-Sep-18","4-Sep-18","5-Sep-18","6-Sep-18","7-Sep-18","8-Sep-18","9-Sep-18","10-Sep-18","11-Sep-18","12-Sep-18","13-Sep-18","14-Sep-18","15-Sep-18","16-Sep-18","17-Sep-18"
"Mississippi State Penitentiary","3,560","3,261","3,260","3,260","3,260","3,241","3,329","3,259","3,254","3,254","3,247","3,250","3,246","3,252","3,258","3,258","3,256","3,257"
"Central Mississippi Correctional Facility","4,129","3,837","3,835","3,835","3,835","3,877","3,806","3,810","3,811","3,811","3,816","3,826","3,831","3,850","3,850","3,850","3,847","3,862"
"Youthful Offender Unit","58","36","36","36","36","36","36","38","38","38","38","38","38","38","38","38","38","38"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,047","3,046","3,046","3,046","3,040","3,043","3,050","3,048","3,048","3,053","3,049","3,043","3,044","3,057","3,056","3,056","3,058"
"County Jails","1,791","1,379","1,379","1,379","1,379","1,293","1,355","1,338","1,338","1,338","1,328","1,328","1,300","1,318","1,315","1,315","1,315","1,288"
"COMMUNITY WORK CENTERS","1,512","1,017","1,012","1,008","1,008","1,029","1,024","1,021","1,016","1,016","1,031","1,010","1,026","1,009","1,005","1,004","1,004","1,008"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","75","75","75","75","76","82","80","80","80","80","79","79","77","76","77","77","77"
"Delta TVC","300","269","264","264","264","279","275","273","269","269","275","267","275","272","272","270","270","265"
"Forrest Satellite Facility","96","62","62","62","62","62","62","60","60","60","62","60","64","64","61","61","61","63"
"George Satellite Facility","102","67","67","67","67","67","66","71","71","71","72","69","69","70","69","69","69","71"
"Harrison Satellite Facility","102","52","52","52","52","61","51","48","48","48","50","50","51","50","49","49","49","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","67","67","67","67","65","65","64","64","64","67","67","66","65","66","66","66","66"
"Noxubee Satellite Facility","58","48","48","46","46","46","46","46","46","46","46","45","45","45","45","45","45","45"
"Pike Satellite Facility","93","71","71","71","71","70","70","69","69","69","69","71","71","71","70","70","70","69"
"Quitman Satellite Facility","93","53","53","52","52","52","51","55","55","55","55","53","52","52","52","52","52","50"
"Rankin Satellite Facility","178","140","140","139","139","142","142","142","142","142","145","143","143","143","141","141","141","148"
